majority,congress,session,rollcall-num,legis-num,vote-question,vote-result,vote-desc,r-y,r-no,r-p,r-nv,d-y,d-no,d-p,d-nv,ind-y,ind-n,i-p,i-nv,
R,114,1st,1,QUORUM,Call by States,Passed,None,0,0,238,8,0,0,163,25,0,0,0,0,
R,114,1st,10,H R 23,On Motion to Suspend the Rules and Pass,Passed,National Windstorm Impact Reduction Act Reauthorization,201,39,0,2,180,0,0,5,0,0,0,0,
R,114,1st,100,H RES 129,On Ordering the Previous Question,Passed,Providing for consideration of the joint resolution (H.J.Res. 35) making further continuing appropriations for fiscal year 2015, and for other purposes,240,0,0,4,0,183,0,5,0,0,0,0,
R,114,1st,101,H RES 129,On Agreeing to the Resolution,Passed,Providing for consideration of the joint resolution (H.J.Res. 35) making further continuing appropriations for fiscal year 2015, and for other purposes,240,0,0,4,0,183,0,5,0,0,0,0,
R,114,1st,102,H R 240,On Motion to Request a Conference,Passed,Making appropriations for the Department of Homeland Security for the fiscal year ending September 30, 2015, and for other purposes,228,12,0,4,0,179,0,9,0,0,0,0,
R,114,1st,103,JOURNAL,On Approving the Journal,Passed,None,136,100,1,7,90,86,0,12,0,0,0,0,
R,114,1st,104,H J RES 35,On Passage,Failed,Making further continuing appropriations for fiscal year 2015, and for other purposes,191,52,0,2,12,172,0,4,0,0,0,0,
R,114,1st,105,H R 240,On Motion to Instruct Conferees,Failed,Making appropriations for the Department of Homeland Security for the fiscal year ending September 30, 2015, and for other purposes,21,218,0,5,180,0,0,8,0,0,0,0,
R,114,1st,106,H R 33,On Motion to Suspend the Rules and Concur in the Senate Amendment,Passed,Protecting Volunteer Firefighters and Emergency Responders Act,183,55,0,6,174,5,0,9,0,0,0,0,
R,114,1st,107,H R 294,On Motion to Suspend the Rules and Pass, as Amended,Passed,Long-Term Care Veterans Choice Act,232,0,0,12,173,0,0,15,0,0,0,0,
R,114,1st,108,H R 240,On Motion to Table the Senate Amendment,Failed,Making appropriations for the Department of Homeland Security for the fiscal year ending September 30, 2015, and for other purposes,140,98,0,6,0,180,0,8,0,0,0,0,
R,114,1st,109,H R 240,On Motion to Recede and Concur in the Senate Amendment,Passed,Making appropriations for the Department of Homeland Security for the fiscal year ending September 30, 2015, and for other purposes,75,167,0,3,182,0,0,6,0,0,0,0,
R,114,1st,110,H R 749,On Agreeing to the Amendment,Failed,None,147,89,0,8,0,183,0,5,0,0,0,0,
R,114,1st,111,H R 749,On Motion to Recommit with Instructions,Failed,To reauthorize Federal support for passenger rail programs and for other purposes,1,232,0,11,183,0,0,5,0,0,0,0,
R,114,1st,112,H R 749,On Passage,Passed,To reauthorize Federal support for passenger rail programs and for other purposes,132,101,0,11,184,0,0,4,0,0,0,0,
R,114,1st,113,H R 647,On Motion to Suspend the Rules and Pass,Passed,Access to Life-Saving Trauma Care for All Americans Act,221,10,0,13,168,0,0,20,0,0,0,0,
R,114,1st,114,H R 648,On Motion to Suspend the Rules and Pass,Passed,Trauma Systems and Regionalization of Emergency Care Reauthorization Act,214,15,0,15,168,0,0,20,0,0,0,0,
R,114,1st,115,H R 876,On Motion to Suspend the Rules and Pass, as Amended,Passed,Notice of Observation Treatment and Implication for Care Eligibility Act,229,0,0,15,166,0,0,22,0,0,0,0,
R,114,1st,116,H RES 138,On Ordering the Previous Question,Passed,Providing for consideration of the bill (H.R. 1029) EPA Science Advisory Board Reform Act, and providing for consideration of the bill (H.R. 1030) Secret Science Reform Act,232,0,0,12,0,181,0,7,0,0,0,0,
R,114,1st,117,H RES 138,On Agreeing to the Resolution,Passed,Providing for consideration of the bill (H.R. 1029) EPA Science Advisory Board Reform Act, and providing for consideration of the bill (H.R. 1030) Secret Science Reform Act,233,0,0,11,3,180,0,5,0,0,0,0,
R,114,1st,118,H R 1191,On Motion to Suspend the Rules and Pass, as Amended,Passed,Protecting Volunteer Firefighters and Emergency Responders Act,234,0,0,10,181,0,0,7,0,0,0,0,
R,114,1st,119,H R 1029,On Agreeing to the Amendment,Agreed to,None,232,4,0,8,10,171,0,7,0,0,0,0,
R,114,1st,120,H R 1029,On Motion to Recommit with Instructions,Failed,EPA Science Advisory Board Reform Act of 2015,0,235,0,9,179,2,0,7,0,0,0,0,
R,114,1st,121,H R 1029,On Passage,Passed,EPA Science Advisory Board Reform Act of 2015,234,1,0,9,2,180,0,6,0,0,0,0,
R,114,1st,122,H R 1030,On Agreeing to the Amendment,Failed,None,0,237,0,7,164,17,0,7,0,0,0,0,
R,114,1st,123,H R 1030,On Agreeing to the Amendment,Failed,None,3,231,0,10,181,0,0,7,0,0,0,0,
R,114,1st,124,H R 1030,On Motion to Recommit with Instructions,Failed,To prohibit the Environmental Protection Agency from proposing, finalizing, or disseminating regulations or assessments based upon science that is not transparent or reproducible.,1,238,0,5,180,1,0,7,0,0,0,0,
R,114,1st,125,H R 1030,On Passage,Passed,To prohibit the Environmental Protection Agency from proposing, finalizing, or disseminating regulations or assessments based upon science that is not transparent or reproducible.,237,1,0,6,4,174,0,10,0,0,0,0,
R,114,1st,126,H RES 152,On Ordering the Previous Question,Passed,Providing for consideration of H.Res. 132, House Committee Funding Resolution, 114th Congress, and S.J. Res. 8, congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the National Labor Relations Board relating to representation case procedures.,233,0,0,11,0,181,0,7,0,0,0,0,
R,114,1st,127,H RES 152,On Agreeing to the Resolution,Passed,Providing for consideration of H.Res. 132, House Committee Funding Resolution, 114th Congress, and S.J. Res. 8, congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the National Labor Relations Board relating to representation case procedures.,232,0,0,12,1,181,0,6,0,0,0,0,
